scenario_id,scenario_label,basic_type,selected_diseases,location_name,rank,facility_id,name,distance_km,final_score,travel_minutes,outdoor_minutes,route_burden_minutes,route_data_status,fit_score,route_score,accessibility_score,operating_score,confidence_score,visit_status,service_tags,availability_data_status,walk_route_observation_count,reasons
DEMO-01,기본 조건,일반 성인,선택 안 함,부산대역 생활권,1,GJH332,지온병원,4.11,64.6,48.8,48.8,50.8,approximate_osm,82.0,39.1,55.0,88.0,87.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료,verified,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 49분 중 야외 노출은 약 49분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 2분으로 반영했습니다.
DEMO-01,기본 조건,일반 성인,선택 안 함,부산대역 생활권,2,GJH335,단골병원,4.33,61.8,51.6,51.6,53.7,approximate_osm,82.0,35.6,55.0,70.5,87.0,방문 전 전화 확인,야간진료|토요일진료,verified,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 52분 중 야외 노출은 약 52분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 2분으로 반영했습니다.
DEMO-01,기본 조건,일반 성인,선택 안 함,부산대역 생활권,3,GJH337,더희망찬병원,4.29,60.1,51.2,51.2,53.2,approximate_osm,82.0,36.1,55.0,52.0,87.0,방문 전 전화 확인,재활진료 근거,partial_or_unknown,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 51분 중 야외 노출은 약 51분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 2분으로 반영했습니다.
DEMO-01,기본 조건,일반 성인,선택 안 함,부산대역 생활권,4,GJH349,새우리병원,4.33,59.5,51.6,51.6,53.7,approximate_osm,82.0,35.6,55.0,52.0,79.0,방문 전 전화 확인,,partial_or_unknown,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 52분 중 야외 노출은 약 52분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 2분으로 반영했습니다.
DEMO-01,기본 조건,일반 성인,선택 안 함,부산대역 생활권,5,GJH359,세웅병원,5.18,58.5,64.8,64.8,67.4,approximate_osm,82.0,19.1,61.0,77.5,82.0,방문 전 전화 확인,야간진료|24시간응급|인근 장애인주차,partial_or_unknown,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 1시간 5분 중 야외 노출은 약 1시간 5분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 3분으로 반영했습니다.
DEMO-02,비 오는 날 · 고령자,고령자,선택 안 함,구서역 생활권,1,GJH333,더케이부산병원,0.24,80.6,3.8,3.8,6.3,approximate_osm,82.0,92.4,55.0,88.0,87.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료,verified,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 4분 중 야외 노출은 약 4분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 3분으로 반영했습니다.
DEMO-02,비 오는 날 · 고령자,고령자,선택 안 함,구서역 생활권,2,GJH358,의료법인 삼세의료재단 삼세한방병원,1.65,67.2,26.1,26.1,44.2,approximate_osm,82.0,47.0,55.0,88.0,92.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료|재활진료 근거|수술 공개근거|전문의 공개근거|협진 공개근거,verified,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 26분 중 야외 노출은 약 26분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 18분으로 반영했습니다.
DEMO-02,비 오는 날 · 고령자,고령자,선택 안 함,구서역 생활권,3,GJH334,화창한병원,1.49,66.9,22.1,22.1,37.4,approximate_osm,82.0,55.1,55.0,65.5,82.0,방문 전 전화 확인,야간진료,partial_or_unknown,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 22분 중 야외 노출은 약 22분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 15분으로 반영했습니다.
DEMO-02,비 오는 날 · 고령자,고령자,선택 안 함,구서역 생활권,4,GJH344,순병원,1.65,65.2,26.1,26.1,44.2,approximate_osm,82.0,47.0,55.0,70.5,87.0,방문 전 전화 확인,야간진료|토요일진료,verified,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 26분 중 야외 노출은 약 26분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 18분으로 반영했습니다.
DEMO-02,비 오는 날 · 고령자,고령자,선택 안 함,구서역 생활권,5,GJH339,부산마이크로병원,1.79,64.9,26.5,26.5,44.8,approximate_osm,82.0,46.3,55.0,67.0,92.0,방문 전 전화 확인,토요일진료|일·공휴일진료|수술 공개근거,verified,3,진료과목과 이동 조건을 함께 비교한 후보입니다. | 예상 이동 26분 중 야외 노출은 약 26분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 18분으로 반영했습니다.
